Qual é o plural de 'cão'?,cachorros,cãos,cães,cachorras,cães
Qual é a forma correta para advérbio de lugar: 'aonde' ou 'onde'?,aonde,onde,as duas formas estão corretas,nenhuma das formas está correta,onde
Complete a frase(em Presente): 'Eu ________ o café.',bebo,bebi,beberei,bebendo,bebo
Complete a frase: 'Ele comprou um ________ novo.',carro,carinho,carão,caro,carro
Qual é a forma correta para uma questão : 'porquê' ou 'porque'?,porquê,porque,as duas formas estão corretas,nenhuma das formas está correta,porque
Complete a frase: 'A menina era muito ________.',alegre,inteligente,feliz,boba,alegre
Complete a frase: '________ fez isso?',Quem,O que,Quando,Por que,Quem
Complete a frase: 'Vou ________ casa.',para,a,em,de,para
Complete a frase(Explicativa): 'Ele não foi, ________ estava cansado.',mas,porque,depois,quando,porque
Quantas sílabas tem a palavra 'bicicleta'?,Duas,Três,Quatro,Uma,Três
Qual é o antônimo de 'frio'?,quente,quarto,frio,quentinho,quente
Complete a frase: 'Ela ________ na piscina.',nada,nado,nadou,nadar,nadou
Complete a frase: '________ a hora?' ('a', 'à', 'há', 'a')?,Qual,Que,Quel,Hora,Que
Qual é o plural de 'país'?,países,paiz,paes,paísses,países
Complete a frase: 'Ele ________ sempre à escola.',vai,vais,vão,vam,vai
Complete a frase: '________ dia de hoje?' ('há' ou 'à')?,A,Há,As,Ah,Há
Qual é a forma correta: 'conserto' ou 'concerto'?,conserto,concerto,conserta,concerda,conserto
Complete a frase: 'Eu ________ comer fruta todos os dias.',costumo,custumo,costo,custei,costumo
Qual é o plural de 'maçã'?,maças,maçães,maçãs,maçá,maçãs
Complete a frase: 'Ela ________ para a escola todos os dias.',vai,vam,vão,vão,vai
Complete a frase: 'Estamos ________ 2022.' (em ou no)?,em,no,ao,a,em
Qual é o feminino de 'rei'?,rainha,reis,reia,reizinha,rainha
Complete a frase: '________ você vai?' ('Onde' ou 'Aonde')?,Aonde,Onde,Ondi,Onde,Aonde
Complete a frase: 'Ele ________ o trabalho.' (realiza ou reliza)?,realiza,reliza,reliza,realiza,realiza
Qual é o antônimo de 'alto'?,baixo,alto,alinho,alta,baixo
Qual é o plural de 'cavalo'?,cavalos,cavaleiros,cavalas,cavalos,cavalos
Complete a frase: '________ você vai?' ('onde' ou 'aonde')?,Aonde,Onde,Ondi,Onde,Aonde
Complete a frase: 'Ela ________ sempre à escola.',vai,vais,vão,vam,vai
Complete a frase: 'Ela ________ para a escola todos os dias.',vai,vam,vão,vão,vai
Complete a frase: 'Estamos ________ 2022.' (em ou no)?,em,no,ao,a,em
